episode,train_return,eval_return,epsilon,loss,llm1_full_response,llm2_full_response
1,39.0,12.04,0.9967825,nan,N/A,N/A
2,45.0,12.04,0.99307,nan,N/A,N/A
3,47.0,12.04,0.9891925,nan,N/A,N/A
4,24.0,12.04,0.9872125,nan,N/A,N/A
5,21.0,12.04,0.98548,nan,N/A,N/A
6,10.0,12.04,0.984655,nan,N/A,N/A
7,15.0,12.04,0.9834175,nan,N/A,N/A
8,19.0,12.04,0.98185,nan,N/A,N/A
9,13.0,12.04,0.9807775,nan,N/A,N/A
10,15.0,12.04,0.97954,nan,N/A,N/A
11,11.0,12.04,0.9786325,nan,N/A,N/A
12,36.0,12.04,0.9756625,nan,N/A,N/A
13,35.0,12.04,0.972775,nan,N/A,N/A
14,13.0,12.04,0.9717025,nan,N/A,N/A
15,14.0,12.04,0.9705475,nan,N/A,N/A
16,19.0,12.04,0.96898,nan,N/A,N/A
17,13.0,12.04,0.9679075,nan,N/A,N/A
18,11.0,12.04,0.967,nan,N/A,N/A
19,16.0,12.04,0.96568,nan,N/A,N/A
