episode,train_return,eval_return,epsilon,loss,llm_full_response
1,-280.2256965452365,-568.236886424473,0.995248,nan,N/A
2,-136.8662580854116,-568.236886424473,0.9917335,nan,N/A
3,-104.82532251416669,-568.236886424473,0.9881695,nan,N/A
4,-32.899433744737024,-568.236886424473,0.984259,nan,N/A
5,-312.7757782755572,-568.236886424473,0.9789625,nan,N/A
6,-298.60887215820964,-898.9278311174928,0.973369,3.184013285134968,N/A
7,-276.6470962849906,-622.5715672142564,0.968122,2.4594761796717375,N/A
8,-156.0884588685583,-634.7540410808815,0.9623305,1.998954007258782,N/A
9,-133.96348971412806,-1.3277700494647262,0.955549,1.8921182964840075,N/A
10,-104.23503909669002,55.25017070436885,0.9504505,1.4980245275983533,N/A
11,-100.46790363045076,-26.84716225629011,0.9470845,1.6048501681755571,N/A
12,-129.4357813959255,-4.745476457858851,0.9437185,1.6530409236164654,N/A
13,-129.6798877668255,54.87169058019093,0.939709,1.5736492254115917,N/A
14,-364.66165264427633,30.50554870707763,0.9355015,1.475526310415829,N/A
15,-74.83383190362758,-73.46954517897485,0.9324325,1.5343279987573624,N/A
16,-198.49816137375353,-158.75668299676354,0.9258985,1.3703197938474743,N/A
17,-229.62651234677452,-63.18632984394545,0.9211465,1.4201820275435846,N/A
18,-212.57262909377363,-115.09628501537513,0.915157,1.4395026868778813,N/A
19,-95.78957912254631,-191.01924362890787,0.911791,1.3552588509286152,N/A
20,-172.24618163088138,-428.56078162253925,0.906544,1.4463559968291588,N/A
21,-117.73930153761171,-274.1104734266123,0.9022375,1.3221141552102977,N/A
22,-71.84440692941244,-199.31308760791183,0.898624,1.2983733174735552,N/A
23,-269.5753741851978,-127.52378357004561,0.892684,1.2110631757726271,N/A
24,-139.12342469874892,-223.32075660835798,0.8888725,1.3317915077333327,N/A
25,-289.8695566956883,-224.73624948564435,0.885358,1.3403279279739084,N/A
26,25.309646862340216,-318.33073539958156,0.8806555,1.202520273704278,N/A
27,-150.9562788633532,-177.12323722204385,0.8748145,1.3537262877670384,N/A
28,-80.7380683469704,-367.3160911492805,0.870607,1.3606428810778786,N/A
29,-141.37057423391036,-315.1002733398776,0.865459,1.4251664194923181,N/A
30,-137.08044394763488,-428.45904823476576,0.861598,1.4759533460705707,N/A
31,-46.43426180152282,-269.77323881206735,0.858232,1.6502375471241333,N/A
32,-212.4192703019274,-232.6823510133126,0.8535295,1.4202591682735242,N/A
33,-128.34434732272234,-296.8283070272806,0.847936,1.5107799210643347,N/A
34,-112.74575864828519,-192.799283354868,0.8433325,1.5551373308063836,N/A
35,-181.97012131278362,-88.09199104692824,0.838135,1.4752196239573614,N/A
36,-324.84505326900023,-234.77972962759463,0.833086,1.6815417462996407,N/A
37,-86.24244012627234,-161.43911018227223,0.8298685,1.6573856071783946,N/A
