episode,train_return,eval_return,epsilon,loss,llm1_full_response,llm2_full_response
1,-81.49169091433788,-604.1141201204624,0.99604,nan,N/A,N/A
2,-267.10768918399765,-604.1141201204624,0.991387,nan,N/A,N/A
3,-187.9347927706196,-604.1141201204624,0.986437,nan,N/A,N/A
4,-357.3205645465513,-604.1141201204624,0.981289,nan,N/A,N/A
5,-103.01083045779262,-604.1141201204624,0.977824,nan,N/A,N/A
6,-194.84672123640158,-991.8459733918644,0.9740125,1.3385446071624756,N/A,N/A
7,-75.79211881195765,-644.2300532396749,0.9698545,4.683277606964111,N/A,N/A
8,-116.32779962256242,-195.2610250820382,0.965053,2.499446392059326,N/A,N/A
9,-243.09690206527094,-209.83086143218685,0.9587665,0.9641193747520447,N/A,N/A
10,-139.12105075785828,-161.24865972002658,0.952975,1.0719819068908691,N/A,N/A
11,-239.13159410285283,-144.41785501176153,0.9471835,0.9018980860710144,N/A,N/A
12,-186.88221949216265,-132.30892936034732,0.941986,2.005185842514038,N/A,N/A
13,-95.76619429899205,-92.13428770895386,0.9366895,0.7661827802658081,N/A,N/A
14,-71.82252543745366,-97.59641205464192,0.9332739999999999,1.9811385869979858,N/A,N/A
15,-66.56354835511401,-79.38086289670049,0.930007,1.9124804735183716,N/A,N/A
16,-66.44413586567799,-92.32491379168327,0.926146,0.9692092537879944,N/A,N/A
17,-122.86031197418616,-92.4152938182001,0.9215425,0.2657400965690613,N/A,N/A
18,-68.70966237788456,-108.86821489946404,0.918721,1.9855984449386597,N/A,N/A
19,-57.471004741146636,-119.31362657538565,0.9131275,1.1498687267303467,N/A,N/A
