episode,train_return,eval_return,epsilon,loss,llm_full_response
1,11.0,9.14,0.9990925,nan,N/A
2,36.0,9.14,0.9961225,nan,N/A
3,18.0,9.14,0.9946375,nan,N/A
4,18.0,9.14,0.9931525,nan,N/A
5,13.0,9.14,0.99208,nan,N/A
6,9.0,9.14,0.9913375,nan,N/A
7,13.0,9.14,0.990265,nan,N/A
8,28.0,9.14,0.987955,nan,N/A
9,14.0,9.14,0.9868,nan,N/A
10,27.0,9.14,0.9845725,nan,N/A
11,25.0,9.14,0.98251,nan,N/A
12,25.0,9.14,0.9804475,nan,N/A
13,16.0,9.14,0.9791275,nan,N/A
14,12.0,9.14,0.9781375,nan,N/A
15,26.0,9.14,0.9759925,nan,N/A
16,21.0,9.14,0.97426,nan,N/A
17,61.0,9.14,0.9692275,nan,N/A
18,12.0,9.14,0.9682375,nan,N/A
19,21.0,9.14,0.966505,nan,N/A
20,14.0,9.14,0.96535,nan,N/A
21,79.0,9.14,0.9588325,nan,N/A
22,29.0,9.14,0.95644,0.3769812450877258,N/A
23,23.0,9.14,0.9545425,0.12907296273371446,N/A
24,42.0,9.14,0.9510775,0.029710971373355106,N/A
25,21.0,9.14,0.949345,0.012234758474819717,N/A
26,23.0,9.14,0.9474475,0.011444024154511482,N/A
27,20.0,9.14,0.9457975,0.0077830566733609885,N/A
28,23.0,9.14,0.9439,0.008285162869192984,N/A
29,22.0,9.14,0.942085,0.00945735155520114,N/A
30,11.0,9.14,0.9411775,0.012890878599137068,N/A
31,24.0,9.14,0.9391975,0.012916100483077267,N/A
32,31.0,9.14,0.93664,0.015818601218803276,N/A
33,10.0,9.14,0.935815,0.01925011146813631,N/A
34,31.0,9.14,0.9332575,0.020476791361767437,N/A
35,12.0,9.14,0.9322675,0.023210897110402584,N/A
36,22.0,9.14,0.9304525,0.02673096874390136,N/A
37,44.0,9.14,0.9268225,0.03142604519697753,N/A
38,40.0,9.14,0.9235225,0.03538898687111214,N/A
39,13.0,9.14,0.92245,0.03867356479167938,N/A
40,33.0,9.14,0.9197275,0.041449772702022034,N/A
41,19.0,9.14,0.91816,0.04444852167446362,N/A
42,37.0,9.14,0.9151075,0.04894382853967112,N/A
43,15.0,9.14,0.91387,0.04626570977270603,N/A
44,24.0,9.14,0.91189,0.04558850832593938,N/A
45,17.0,9.14,0.9104875,0.05432700880748384,N/A
46,16.0,9.14,0.9091675,0.054847842489834875,N/A
47,14.0,9.14,0.9080125,0.05593021014439208,N/A
48,17.0,9.14,0.90661,0.05863086769686026,N/A
49,10.0,9.14,0.9057850000000001,0.06979650855064393,N/A
50,10.0,9.14,0.90496,0.07414665035903453,N/A
51,13.0,9.06,0.9038875,0.06659990391479088,N/A
52,11.0,9.14,0.90298,0.07456726614724506,N/A
53,12.0,9.14,0.90199,0.07142016757279634,N/A
54,47.0,9.14,0.8981125,0.07641138453432854,N/A
55,12.0,9.14,0.8971225,0.08221165339152019,N/A
56,18.0,9.14,0.8956375,0.07472658881710635,N/A
57,16.0,13.18,0.8943175,0.07920474046841264,N/A
58,30.0,9.86,0.8918425,0.08507530577480793,N/A
59,21.0,16.3,0.89011,0.10149368661500159,N/A
60,11.0,13.44,0.8892025,0.10057983886111867,N/A
61,36.0,12.66,0.8862325,0.09625275360627307,N/A
62,18.0,19.98,0.8847475,0.0809736160768403,N/A
63,22.0,21.68,0.8829325,0.0940653442997824,N/A
64,23.0,366.12,0.881035,0.08409892330351083,N/A
65,18.0,283.78,0.87955,0.09354982007708815,N/A
66,19.0,22.56,0.8779825,0.09314622592769171,N/A
67,44.0,124.88,0.8743525,0.08720719496804205,N/A
68,38.0,200.36,0.8712175,0.09777595592956793,N/A
69,45.0,259.28,0.867505,0.11560463139580356,N/A
70,20.0,306.94,0.865855,0.09705756660550832,N/A
71,89.0,423.78,0.8585125,0.09565764745132307,N/A
72,15.0,264.18,0.857275,0.11683948089679082,N/A
73,14.0,428.42,0.85612,0.1149760333022901,N/A
74,32.0,411.0,0.85348,0.096195628575515,N/A
75,34.0,375.94,0.850675,0.1066476180601646,N/A
76,85.0,256.98,0.8436625,0.10821142431129427,N/A
77,55.0,284.4,0.839125,0.10626207728954878,N/A
78,12.0,374.92,0.838135,0.10970613857110341,N/A
79,39.0,335.84,0.8349175,0.10081555474645053,N/A
80,14.0,342.5,0.8337625,0.13606847184044973,N/A
81,27.0,343.6,0.831535,0.10267768869245494,N/A
82,18.0,296.94,0.83005,0.11702736011809772,N/A
83,20.0,311.18,0.8284,0.12732061110436915,N/A
84,24.0,309.02,0.8264199999999999,0.12197308475151658,N/A
85,14.0,306.38,0.825265,0.13540589144187315,N/A
86,11.0,303.68,0.8243575,0.1241495975039222,N/A
87,45.0,301.48,0.820645,0.13088359468513064,N/A
88,55.0,273.18,0.8161075,0.13691934672268954,N/A
89,92.0,241.12,0.8085175,0.15010943049160036,N/A
90,17.0,285.96,0.807115,0.15811435308526545,N/A
91,14.0,287.62,0.80596,0.12145483813115529,N/A
92,9.0,239.7,0.8052175,0.16465246180693308,N/A
93,21.0,284.26,0.803485,0.1693509900498958,N/A
94,14.0,287.26,0.80233,0.13173430838755198,N/A
95,19.0,294.78,0.8007625,0.1351371632986947,N/A
96,21.0,279.76,0.79903,0.12213384324596041,N/A
97,35.0,254.42,0.7961425,0.166303993335792,N/A
98,93.0,277.38,0.78847,0.15258377976715565,N/A
99,10.0,278.72,0.787645,0.14587511941790582,N/A
100,15.0,275.24,0.7864075,0.16281564061840376,N/A
101,17.0,274.56,0.785005,0.13571679920834653,N/A
102,12.0,270.54,0.784015,0.17596099898219109,N/A
103,17.0,273.54,0.7826125,0.1691082172534045,N/A
104,17.0,276.48,0.78121,0.15477001097272425,N/A
105,62.0,267.28,0.776095,0.170049854103596,N/A
106,56.0,266.38,0.771475,0.15891929383256606,N/A
107,26.0,272.3,0.76933,0.17874038047515428,N/A
108,23.0,272.62,0.7674325,0.1824305297239967,N/A
109,16.0,258.42,0.7661125,0.16637329198420048,N/A
110,15.0,253.5,0.764875,0.1726468523343404,N/A
111,73.0,249.4,0.7588524999999999,0.1815562268897687,N/A
112,62.0,253.14,0.7537375,0.18224312797669442,N/A
113,27.0,257.0,0.75151,0.1791974656559803,N/A
114,67.0,269.68,0.7459825,0.20369194890024947,N/A
115,11.0,251.26,0.7450749999999999,0.1746818186207251,N/A
116,21.0,243.24,0.7433425,0.1535888792326053,N/A
117,64.0,235.5,0.7380625000000001,0.1900763693265617,N/A
118,30.0,236.26,0.7355875000000001,0.2160635973016421,N/A
119,16.0,235.5,0.7342675,0.20626283204182982,N/A
120,12.0,253.76,0.7332775,0.22057883938153586,N/A
121,18.0,248.74,0.7317925000000001,0.21940267189509338,N/A
122,35.0,249.6,0.728905,0.19523829386702607,N/A
123,24.0,242.1,0.726925,0.1825297192359964,N/A
124,27.0,240.24,0.7246975,0.23742598350401278,N/A
125,174.0,224.14,0.7103425000000001,0.2343543122212092,N/A
