episode,train_return,eval_return,epsilon,loss
1,-2081,-200.0,0.99604,601.90700322567
2,-1388,-200.0,0.99208,242.66507061600686
3,-205,-200.0,0.98812,35.00355737079989
4,-1289,-200.0,0.98416,10.99092182047665
5,-2378,-200.0,0.9802,2.283321091188118
6,-893,-200.0,0.97624,0.2928887670300901
7,-1685,-200.0,0.97228,0.5230526534002274
8,-2081,-200.0,0.96832,6.761931029558181
9,-1883,-200.0,0.96436,1.9132758300937711
10,-1289,-200.0,0.9604,3.567016962664202
11,-1685,-200.0,0.95644,1.2454170691035689
12,-2873,-200.0,0.95248,3.3267726678354665
13,-1784,-200.0,0.94852,1.5492345000803471
14,-2180,-200.0,0.94456,1.1983017988223583
15,-1883,-200.0,0.9406,0.1729534453805536
16,-2180,-200.0,0.93664,0.7788163912296295
17,-1685,-200.0,0.93268,0.6463894878141582
18,-2279,-200.0,0.92872,0.16992314116097987
19,-794,-200.0,0.92476,0.5807368572242558
20,-1487,-200.0,0.9208,2.138671904085204
21,-1784,-200.0,0.91684,0.9522111131483689
22,-2378,-200.0,0.91288,0.33453113564290105
23,-794,-200.0,0.90892,0.28048228134866804
24,-3170,-200.0,0.90496,0.21254706510575488
25,-1289,-200.0,0.901,0.18229399268049748
26,-2576,-200.0,0.8970400000000001,0.2387329272646457
27,-992,-200.0,0.89308,0.45383082221262155
28,-1091,-200.0,0.88912,0.18868675702251494
29,-2378,-200.0,0.88516,0.11420760098844766
30,-1388,-200.0,0.8812,0.09043060413561761
31,-2378,-200.0,0.87724,0.11406143576838076
32,-1784,-200.0,0.8732800000000001,0.19501388376578688
33,-1982,-200.0,0.86932,0.11180917651858181
34,-1586,-200.0,0.86536,0.14045714913867413
35,-1883,-200.0,0.8613999999999999,0.18894926416687668
36,-1784,-200.0,0.85744,0.13875256147235632
37,-2576,-200.0,0.85348,0.1517544244322926
38,-1982,-200.0,0.84952,0.19688363302499057
39,-1784,-200.0,0.84556,0.22349175492767245
40,-1086,-200.0,0.8416,0.23675124127961075
41,-1167,-200.0,0.8376399999999999,0.12833167372618692
42,-1685,-200.0,0.83368,0.09440814089030028
43,-51,-200.0,0.82972,0.18766278758937238
44,-1784,-200.0,0.82576,0.20301265099085866
45,-474,-200.0,0.8218,0.13568170941793
46,-1883,-200.0,0.81784,0.1259898342192173
47,-1322,-17.0,0.8138799999999999,0.10976577215174686
48,-1883,-200.0,0.80992,0.10552160864695907
49,-1190,-200.0,0.80596,0.2577413769811392
50,-794,-200.0,0.802,0.11355534044094384
51,-1388,-200.0,0.7980400000000001,0.14865381411276757
52,-306,-200.0,0.79408,0.15384966100531597
53,-1289,-200.0,0.79012,0.14974122857674957
54,-1982,-200.0,0.78616,0.19883810196071863
55,-1784,-200.0,0.7822,0.1601652453932911
56,-1728,-200.0,0.77824,0.13790285705019617
57,-497,-200.0,0.77428,0.15810936147347093
58,-1388,-200.0,0.77032,0.18288944993168116
59,-375,-200.0,0.76636,0.12535342941872585
60,-68,-200.0,0.7624,0.1586226110949236
61,-2774,-200.0,0.75844,0.14362182944081725
62,-1289,-200.0,0.75448,0.10878312543034553
63,-1982,-15.0,0.75052,0.09858867636881768
64,-177,-200.0,0.74656,0.16206735472839612
65,-1289,-15.0,0.7425999999999999,0.1030011135712266
66,-2279,-200.0,0.73864,0.1199972452642396
67,-496,-200.0,0.73468,0.1625721961259842
68,-982,-200.0,0.73072,0.19719295394044
69,-1586,-200.0,0.72676,0.23071001943200828
70,-2279,-200.0,0.7228,0.3254029737226665
71,-1091,-200.0,0.71884,0.25264383360743525
72,-1289,-15.0,0.71488,0.16573906746692957
73,-1190,-200.0,0.71092,0.06269115816801786
74,-1586,-13.0,0.70696,0.08765236491337419
