episode,train_return,eval_return,epsilon,loss,llm_full_response
1,16.0,9.2,0.99868,nan,N/A
2,16.0,9.2,0.99736,nan,N/A
3,16.0,9.2,0.99604,nan,N/A
4,24.0,9.2,0.99406,nan,N/A
5,17.0,9.2,0.9926575,nan,N/A
6,74.0,9.2,0.9865525,nan,N/A
7,14.0,9.2,0.9853975,nan,N/A
8,13.0,9.2,0.984325,nan,N/A
9,13.0,9.2,0.9832525,nan,N/A
10,42.0,9.2,0.9797875,nan,N/A
11,19.0,9.2,0.97822,nan,N/A
12,29.0,9.2,0.9758275,nan,N/A
13,9.0,9.2,0.975085,nan,N/A
14,20.0,9.2,0.973435,nan,N/A
15,25.0,9.2,0.9713725,nan,N/A
16,30.0,9.2,0.9688975,nan,N/A
17,22.0,9.2,0.9670825,nan,N/A
18,23.0,9.2,0.965185,nan,N/A
19,9.0,9.2,0.9644425,nan,N/A
20,15.0,9.2,0.963205,nan,N/A
21,70.0,128.62,0.95743,0.4234598744660616,N/A
22,22.0,9.64,0.955615,0.17377692393281244,N/A
23,23.0,9.48,0.9537175,0.03926289429807145,N/A
24,25.0,9.48,0.951655,0.017679287269711495,N/A
25,22.0,9.48,0.94984,0.011641088089990344,N/A
26,12.0,9.48,0.94885,0.012208001920953393,N/A
27,17.0,9.48,0.9474475,0.010950156432740828,N/A
28,24.0,9.48,0.9454675,0.008459841832518578,N/A
29,26.0,9.48,0.9433225,0.00998502212146727,N/A
30,13.0,9.48,0.94225,0.011720255876962956,N/A
31,16.0,9.48,0.94093,0.013215666927862912,N/A
32,9.0,9.48,0.9401875,0.013837740549610721,N/A
33,9.0,9.48,0.939445,0.015100996889587905,N/A
34,12.0,8.96,0.938455,0.017803139596556623,N/A
35,11.0,9.42,0.9375475,0.01998434562913396,N/A
36,14.0,9.48,0.9363925,0.0209382892852383,N/A
37,11.0,9.48,0.935485,0.024223668839443813,N/A
38,37.0,8.76,0.9324325,0.025809717691830686,N/A
39,59.0,8.76,0.927565,0.028215680224031717,N/A
40,23.0,9.18,0.9256675,0.03519764923207138,N/A
